server_id,school_name,school_code,module_name,unit_name,username,user_id,first_name,last_name,roll_no,grade,enrollment_status,buddy_userids,buddy_usernames,total_lessons,lessons_visited,percentage_lessons_visited,total_activities,activities_visited,percentage_activities_visited,total_quizitems,visited_quizitems,attempted_quizitems,unattempted_quizitems,correct_attempted_quizitems,notapplicable_quizitems,incorrect_attempted_quizitems,user_files,total_files_viewed_by_user,other_viewing_my_files,unique_users_commented_on_user_files,total_rating_rcvd_on_files,commented_on_others_files,cmts_on_user_files,total_cmnts_by_user,user_notes,others_reading_my_notes,cmts_on_user_notes,cmnts_rcvd_by_user,total_notes_read_by_user,commented_on_others_notes,total_rating_rcvd_on_notes,correct_attempted_assessments,unattempted_assessments,visited_assessments,notapplicable_assessments,incorrect_attempted_assessments,attempted_assessments,total_assessment_items,1.1 Why Chemistry [59b675012c47960148218d7a],1.2 Periodic Table  [59b675032c47960148218d88],1.3 What is an Element? [59b675042c47960148218d96],1.4 The Language of Chemistry-I [59b675062c47960148218da4],1.5 The Language of Chemistry-II [59b675082c47960148218db2],2.1 Need for an Atom I [59b6750a2c47960148218dc4],2.2 Need for an Atom II [59b6750c2c47960148218dd2],3.1 Atom [59b6750e2c47960148218de4],3.2 Atom Factory [59b675102c47960148218df2],3.3 Atom Factory Again! [59b675112c47960148218e00],3.4 Review-Atom [59b675132c47960148218e0e],3.5 Electrons and Chemical Reactivity of an Element [59b675152c47960148218e1c],4.1 The Rule of 8 [59b675172c47960148218e2e],4.2 Na and Ne  - Cl and Ar [59b675192c47960148218e3c],4.3 H and He - O and Ne [59b6751a2c47960148218e4a],5.1 Molecule Factory [59b6751c2c47960148218e5c],5.2 Some More Molecules [59b6751e2c47960148218e6a],5.3 Review- Molecule [59b6751f2c47960148218e78],Tell us what you felt about this module [59b675232c47960148218e94],1. Gender [59b675242c47960148218ea2],2. Grade [59b675272c47960148218eca],3. State [59b6752a2c47960148218ef2],4. District [59b6752d2c47960148218f1a],5. Please enter your student login id: [59b6752f2c47960148218f3a],6. How many of your friends are working with you during this session?  [59b675322c47960148218f5a],"7. If you are working on this survey with your friends, please enter their buddy log-ins. [59b675342c47960148218f7a]",8. My classmates and I worked together to learn how to do the module. [59b675362c47960148218f9a],9. I put a lot of energy into this module. [59b675392c47960148218fc2],10. The module is useful for learning the subject. [59b6753b2c47960148218fea],11. It was boring to do this module. [59b6753d2c47960148219012],12. I got helpful comments about my work from my classmates as we did the module. [59b675402c4796014821903a],13. I put a lot of effort into the module. [59b675432c47960148219062],"14. In the module, my classmates and I worked together to complete the tasks. [59b675452c4796014821908a]",15. The module is important because it can help me to learn the subject. [59b675482c479601482190b2],16. It was fun to do this module. [59b6754a2c479601482190da],17. Doing the module is beneficial to me. [59b6754d2c47960148219102],18. It was important to me to do well at the tasks in the module. [59b6754f2c4796014821912a],19. I enjoyed doing this module. [59b675522c47960148219152],20. I tried to do well in this module. [59b675542c4796014821917a],21. The module is of value to me. [59b675572c479601482191a2],22. These activities held my attention. [59b6755a2c479601482191ca],23. My classmates and I worked together to learn new things during the activities. [59b6755c2c479601482191f2],24. I tried very hard on the module. [59b6755f2c4796014821921a],25. I would describe these activities as very interesting. [59b675622c47960148219242],26. My classmates and I shared our ideas with each other as we did the module. [59b675642c4796014821926a],27. I would do this module again because it is useful to me. [59b675672c47960148219292],Citation | Credits | Rights Information [59b6756a2c479601482192be],Pre-Test [5a94f96869602a01695936f3],Post-Test [5a94fe4769602a0169593948]
mz25,GOVT. DURTLANG HIGH SCHOOL,2031025,[u'Atomic Structure'],atom-in-chemistry,administrator,1,,,,,Yes,[],[],9,0,0,49,3,6.122448979591836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mz25,GOVT. DURTLANG HIGH SCHOOL,2031025,[u'Atomic Structure'],atom-in-chemistry,blue-bat-sp100,1260076,,,,,Yes,[],[],9,1,11.11111111111111,49,2,4.081632653061225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mz25,GOVT. DURTLANG HIGH SCHOOL,2031025,[u'Atomic Structure'],atom-in-chemistry,brown-hippo-mz25,26427,,,,,Yes,[],[],9,0,0,49,1,2.0408163265306123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mz25,GOVT. DURTLANG HIGH SCHOOL,2031025,[u'Atomic Structure'],atom-in-chemistry,brown-rose-mz25,26449,,,,,Yes,[],[],9,0,0,49,1,2.0408163265306123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mz25,GOVT. DURTLANG HIGH SCHOOL,2031025,[u'Atomic Structure'],atom-in-chemistry,brown-mouse-mz25,26437,,,,,Yes,[],[],9,0,0,49,3,6.122448979591836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mz25,GOVT. DURTLANG HIGH SCHOOL,2031025,[u'Atomic Structure'],atom-in-chemistry,brown-panda-mz25,26441,,,,,Yes,[],[],9,0,0,49,3,6.122448979591836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mz25,GOVT. DURTLANG HIGH SCHOOL,2031025,[u'Atomic Structure'],atom-in-chemistry,brown-snail-mz25,26455,,,,,Yes,[],[],9,0,0,49,1,2.0408163265306123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mz25,GOVT. DURTLANG HIGH SCHOOL,2031025,[u'Atomic Structure'],atom-in-chemistry,brown-owl-mz25,26440,,,,,Yes,[],[],9,0,0,49,1,2.0408163265306123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mz25,GOVT. DURTLANG HIGH SCHOOL,2031025,[u'Atomic Structure'],atom-in-chemistry,brown-llama-mz25,26433,,,,,Yes,[],[],9,0,0,49,3,6.122448979591836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mz25,GOVT. DURTLANG HIGH SCHOOL,2031025,[u'Atomic Structure'],atom-in-chemistry,brown-monkey-mz25,26436,,,,,Yes,[],[],9,0,0,49,2,4.081632653061225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
